Sender IP,Account Number,Is Malicious,Money Transfer Amount,Online Status,Operating System
192.168.0.119,7654321098,,80.0,Online,Windows
192.168.0.82,4321098765,,75.0,Online,Windows
192.168.1.32,4321098765,,135000.0,Offline,MacOS
192.168.0.173,3210987653,True,200.0,Online,Windows
192.168.0.242,4321098764,True,75.0,Offline,MacOS
192.168.1.90,6543210987,,75000.0,Offline,MacOS
192.168.0.231,5432109875,,150.0,Online,Linux
192.168.0.136,0987654321,,180.0,Online,Linux
192.168.1.35,1098765432,,150000.0,Offline,MacOS
192.168.0.124,2109876543,True,120.0,Online,Linux
192.168.0.176,0987654320,,180.0,Online,Windows
192.168.0.194,2109876542,,120.0,Online,Windows
192.168.0.143,3210987654,,200.0,Online,Windows
192.168.0.230,6543210986,,300.0,Offline,MacOS
192.168.0.58,456788888,,250.0,Offline,MacOS
192.168.1.92,4321098765,,85000.0,Online,Windows
192.168.0.236,0987654320,,180.0,Offline,MacOS
192.168.0.70,5678901234,,90.0,Offline,MacOS
192.168.0.245,1098765431,,90.0,Offline,MacOS
192.168.0.118,8765432109,,250.0,Online,Linux
192.168.0.101,5432109876,,150.0,Online,Windows
192.168.0.209,7654321097,,80.0,Online,Windows
192.168.1.81,5432109876,True,30000.0,Offline,MacOS
192.168.0.175,1098765431,,90.0,Online,Linux
192.168.0.227,9876543219,,110.0,Offline,MacOS
192.168.0.229,7654321097,True,80.0,Online,Windows
192.168.0.225,1098765431,,90.0,Offline,MacOS
192.168.0.87,9876543210,,110.0,Online,Linux
192.168.0.84,2109876543,True,120.0,Online,Linux
192.168.0.164,2109876542,,120.0,Online,Windows
192.168.0.38,555555555,True,250.0,Offline,MacOS
192.168.0.89,7654321098,,80.0,Offline,MacOS
192.168.1.99,7654321098,,120000.0,Offline,MacOS
192.168.0.79,7654321098,,120.0,Online,Windows
192.168.0.241,5432109875,,150.0,Online,Windows
192.168.0.105,1098765432,,90.0,Offline,MacOS
192.168.0.205,1098765431,True,90.0,Online,Linux
192.168.0.46,333333333,True,180.0,Online,Linux
192.168.0.131,5432109876,True,150.0,Online,Windows
192.168.0.115,1098765432,,90.0,Online,Linux
192.168.1.88,8765432109,,65000.0,Online,Linux
192.168.0.181,5432109875,,150.0,Online,Linux
192.168.0.108,8765432109,,250.0,Offline,MacOS
192.168.0.224,2109876542,True,120.0,Online,Windows
192.168.0.39,666666666,,80.0,Online,Linux
192.168.0.97,9876543210,,110.0,Online,Windows
192.168.0.163,3210987653,,200.0,Online,Linux
192.168.0.138,8765432109,,250.0,Offline,MacOS
192.168.0.86,0987654321,,180.0,Offline,MacOS
192.168.0.251,5432109875,,150.0,Online,Linux
192.168.0.201,5432109875,,150.0,Offline,MacOS
192.168.0.244,2109876542,,120.0,Online,Windows
192.168.0.150,6543210987,,300.0,Offline,MacOS
192.168.0.112,4321098765,,75.0,Online,Linux
192.168.0.156,0987654320,,180.0,Offline,MacOS
192.168.0.222,4321098764,,75.0,Offline,MacOS
192.168.0.250,6543210986,True,300.0,Offline,MacOS
192.168.0.63,567654348,,200.0,Online,Linux
192.168.0.179,7654321097,,80.0,Online,Windows
192.168.0.83,3210987654,True,200.0,Offline,MacOS
192.168.0.45,222222222,,90.0,Offline,MacOS
192.168.0.177,9876543219,,110.0,Offline,MacOS
192.168.0.76,0987654321,,150.0,Online,Windows
